data e hora,Dióxido de Nitrogênio
07/01/2023 20:30:00,18.12
07/01/2023 21:30:00,19.85
07/01/2023 22:30:00,20.27
07/01/2023 23:30:00,17.14
08/01/2023 00:30:00,13.03
08/01/2023 01:30:00,9.47
08/01/2023 02:30:00,10.82
08/01/2023 03:30:00,11.46
08/01/2023 04:30:00,9.79
08/01/2023 05:30:00,9.27
08/01/2023 06:30:00,06.08
08/01/2023 07:30:00,8.16
08/01/2023 08:30:00,5.60
08/01/2023 09:30:00,6.84
08/01/2023 10:30:00,08.07
08/01/2023 11:30:00,4.52
08/01/2023 12:30:00,4.93
08/01/2023 13:30:00,7.99
08/01/2023 14:30:00,7.84
08/01/2023 15:30:00,6.32
08/01/2023 16:30:00,7.15
08/01/2023 17:30:00,15.00
08/01/2023 18:30:00,18.53
08/01/2023 19:30:00,19.01
08/01/2023 20:30:00,21.84
08/01/2023 21:30:00,16.23
08/01/2023 22:30:00,18.24
08/01/2023 23:30:00,23.99
09/01/2023 00:30:00,15.00
09/01/2023 01:30:00,9.33
09/01/2023 02:30:00,8.31
09/01/2023 03:30:00,8.11
09/01/2023 04:30:00,8.31
09/01/2023 05:30:00,11.12
09/01/2023 06:30:00,15.69
09/01/2023 07:30:00,18.81
09/01/2023 08:30:00,17.27
09/01/2023 09:30:00,12.35
09/01/2023 10:30:00,15.88
09/01/2023 11:30:00,15.36
09/01/2023 12:30:00,7.32
09/01/2023 13:30:00,09.07
09/01/2023 14:30:00,8.10
09/01/2023 15:30:00,6.82
09/01/2023 16:30:00,8.00
09/01/2023 17:30:00,13.36
09/01/2023 18:30:00,15.33
09/01/2023 19:30:00,19.53
09/01/2023 20:30:00,16.87
09/01/2023 21:30:00,19.97
09/01/2023 22:30:00,13.74
09/01/2023 23:30:00,17.86
10/01/2023 00:30:00,10.85
10/01/2023 01:30:00,7.33
10/01/2023 02:30:00,7.36
10/01/2023 03:30:00,15.09
10/01/2023 04:30:00,17.21
10/01/2023 05:30:00,21.26
10/01/2023 06:30:00,15.30
10/01/2023 07:30:00,11.43
10/01/2023 08:30:00,10.06
10/01/2023 09:30:00,8.98
10/01/2023 10:30:00,9.53
10/01/2023 11:30:00,10.61
10/01/2023 12:30:00,8.43
10/01/2023 13:30:00,9.65
10/01/2023 14:30:00,10.56
10/01/2023 15:30:00,13.20
10/01/2023 16:30:00,11.14
10/01/2023 17:30:00,12.52
10/01/2023 18:30:00,12.65
10/01/2023 19:30:00,15.49
10/01/2023 20:30:00,12.91
10/01/2023 21:30:00,10.54
10/01/2023 22:30:00,13.97
10/01/2023 23:30:00,14.18
11/01/2023 00:30:00,8.98
11/01/2023 01:30:00,9.44
11/01/2023 02:30:00,3.58
11/01/2023 03:30:00,5.66
11/01/2023 04:30:00,14.16
11/01/2023 05:30:00,16.91
11/01/2023 06:30:00,11.94
11/01/2023 07:30:00,9.85
11/01/2023 08:30:00,7.68
11/01/2023 09:30:00,9.32
11/01/2023 10:30:00,11.22
11/01/2023 11:30:00,12.44
11/01/2023 12:30:00,8.10
11/01/2023 13:30:00,5.70
11/01/2023 14:30:00,4.28
11/01/2023 15:30:00,7.76
11/01/2023 16:30:00,08.06
11/01/2023 17:30:00,9.21
11/01/2023 18:30:00,11.58
11/01/2023 19:30:00,12.20
11/01/2023 20:30:00,10.04
11/01/2023 21:30:00,16.38
11/01/2023 22:30:00,11.06
11/01/2023 23:30:00,11.09
12/01/2023 00:30:00,6.58
12/01/2023 01:30:00,7.00
12/01/2023 02:30:00,7.47
12/01/2023 03:30:00,5.46
12/01/2023 04:30:00,5.20
12/01/2023 05:30:00,6.78
12/01/2023 06:30:00,9.81
12/01/2023 07:30:00,12.21
12/01/2023 08:30:00,10.59
12/01/2023 09:30:00,9.34
12/01/2023 10:30:00,8.18
12/01/2023 11:30:00,7.84
12/01/2023 12:30:00,8.13
12/01/2023 13:30:00,5.43
12/01/2023 14:30:00,6.12
12/01/2023 15:30:00,6.57
12/01/2023 16:30:00,12.81
12/01/2023 17:30:00,14.53
12/01/2023 18:30:00,25.06
12/01/2023 19:30:00,33.77
12/01/2023 20:30:00,27.74
12/01/2023 21:30:00,19.67
12/01/2023 22:30:00,14.08
12/01/2023 23:30:00,14.61
13/01/2023 00:30:00,12.47
